index,Date,Season,Year,Month,Holiday,Day of Week,Workday,Weather Description,Average Temperature (Celsius),"Average ""Feels Like"" Temperature",Humidity (0 - 1),Wind Speed,Number of Casual Users,Number of Registered Users,Total Users
365,12/31/11,winter,2011,12,No,6,No,Few clouds,11.27,11.06,0.62,0.22,665,1820,2485
366,1/1/12,winter,2012,1,No,0,No,Few clouds,9.39,9.08,0.69,0.19,686,1608,2294
367,1/2/12,winter,2012,1,Yes,1,No,Few clouds,4.69,0.50,0.38,0.33,244,1707,1951
368,1/3/12,winter,2012,1,No,2,Yes,Few clouds,-0.95,-7.42,0.44,0.37,89,2147,2236
369,1/4/12,winter,2012,1,No,3,Yes,Clouds or mist,-2.83,-8.08,0.41,0.18,95,2273,2368
370,1/5/12,winter,2012,1,No,4,Yes,Few clouds,4.69,2.48,0.52,0.13,140,3132,3272
371,1/6/12,winter,2012,1,No,5,Yes,Few clouds,7.51,6.44,0.54,0.17,307,3791,4098
372,1/7/12,winter,2012,1,No,6,No,Few clouds,10.33,9.74,0.53,0.17,1070,3451,4521
373,1/8/12,winter,2012,1,No,0,No,Few clouds,7.98,6.44,0.47,0.19,599,2826,3425
374,1/9/12,winter,2012,1,No,1,Yes,Clouds or mist,2.34,0.50,0.70,0.10,106,2270,2376
375,1/10/12,winter,2012,1,No,2,Yes,Few clouds,6.57,5.12,0.65,0.19,173,3425,3598
376,1/11/12,winter,2012,1,No,3,Yes,Clouds or mist,4.69,2.48,0.85,0.13,92,2085,2177
377,1/12/12,winter,2012,1,No,4,Yes,Clouds or mist,9.86,9.08,0.80,0.18,269,3828,4097
378,1/13/12,winter,2012,1,No,5,Yes,Few clouds,4.69,0.50,0.51,0.38,174,3040,3214
379,1/14/12,winter,2012,1,No,6,No,Few clouds,0.46,-4.12,0.46,0.19,333,2160,2493
380,1/15/12,winter,2012,1,No,0,No,Few clouds,-0.01,-5.44,0.42,0.25,284,2027,2311
381,1/16/12,winter,2012,1,Yes,1,No,Few clouds,0.93,-3.46,0.52,0.23,217,2081,2298
382,1/17/12,winter,2012,1,No,2,Yes,Clouds or mist,9.39,7.76,0.72,0.35,127,2808,2935
383,1/18/12,winter,2012,1,No,3,Yes,Few clouds,6.10,2.48,0.44,0.42,109,3267,3376
384,1/19/12,winter,2012,1,No,4,Yes,Few clouds,0.93,-3.46,0.50,0.22,130,3162,3292
385,1/20/12,winter,2012,1,No,5,Yes,Clouds or mist,2.34,-1.48,0.45,0.20,115,3048,3163
386,1/21/12,winter,2012,1,No,6,No,Clouds or mist,-0.01,-4.78,0.83,0.22,67,1234,1301
387,1/22/12,winter,2012,1,No,0,No,Clouds or mist,-0.48,-5.44,0.80,0.20,196,1781,1977
388,1/23/12,winter,2012,1,No,1,Yes,Clouds or mist,2.34,-0.16,0.91,0.11,145,2287,2432
389,1/24/12,winter,2012,1,No,2,Yes,Few clouds,7.98,7.10,0.84,0.12,439,3900,4339
390,1/25/12,winter,2012,1,No,3,Yes,Few clouds,5.63,3.14,0.64,0.16,467,3803,4270
391,1/26/12,winter,2012,1,No,4,Yes,Clouds or mist,7.98,7.76,0.77,0.07,244,3831,4075
392,1/27/12,winter,2012,1,No,5,Yes,Clouds or mist,12.21,11.72,0.74,0.34,269,3187,3456
393,1/28/12,winter,2012,1,No,6,No,Few clouds,7.04,5.78,0.54,0.21,775,3248,4023
394,1/29/12,winter,2012,1,No,0,No,Few clouds,5.16,1.82,0.31,0.24,558,2685,3243
395,1/30/12,winter,2012,1,No,1,Yes,Few clouds,4.69,1.16,0.40,0.22,126,3498,3624
396,1/31/12,winter,2012,1,No,2,Yes,Few clouds,10.33,9.08,0.42,0.26,324,4185,4509
397,2/1/12,winter,2012,2,No,3,Yes,Few clouds,14.09,15.02,0.51,0.19,304,4275,4579
398,2/2/12,winter,2012,2,No,4,Yes,Clouds or mist,10.80,10.40,0.67,0.19,190,3571,3761
399,2/3/12,winter,2012,2,No,5,Yes,Few clouds,6.57,4.46,0.53,0.18,310,3841,4151
400,2/4/12,winter,2012,2,No,6,No,Clouds or mist,4.22,1.82,0.78,0.12,384,2448,2832
401,2/5/12,winter,2012,2,No,0,No,Clouds or mist,4.69,1.16,0.69,0.18,318,2629,2947
402,2/6/12,winter,2012,2,No,1,Yes,Few clouds,5.16,3.80,0.62,0.15,206,3578,3784
403,2/7/12,winter,2012,2,No,2,Yes,Few clouds,8.45,7.76,0.50,0.15,199,4176,4375
404,2/8/12,winter,2012,2,No,3,Yes,Clouds or mist,4.22,1.82,0.72,0.13,109,2693,2802
405,2/9/12,winter,2012,2,No,4,Yes,Few clouds,4.69,1.16,0.56,0.19,163,3667,3830
406,2/10/12,winter,2012,2,No,5,Yes,Clouds or mist,5.16,3.14,0.54,0.12,227,3604,3831
407,2/11/12,winter,2012,2,No,6,No,Light snow or rain,2.34,-2.14,0.73,0.29,192,1977,2169
408,2/12/12,winter,2012,2,No,0,No,Few clouds,-1.89,-9.40,0.46,0.41,73,1456,1529
409,2/13/12,winter,2012,2,No,1,Yes,Few clouds,2.34,-0.82,0.41,0.17,94,3328,3422
410,2/14/12,winter,2012,2,No,2,Yes,Clouds or mist,7.04,5.78,0.51,0.14,135,3787,3922
411,2/15/12,winter,2012,2,No,3,Yes,Few clouds,8.45,7.10,0.53,0.18,141,4028,4169
412,2/16/12,winter,2012,2,No,4,Yes,Clouds or mist,7.04,5.78,0.75,0.09,74,2931,3005
413,2/17/12,winter,2012,2,No,5,Yes,Few clouds,7.98,7.10,0.63,0.21,349,3805,4154
414,2/18/12,winter,2012,2,No,6,No,Few clouds,8.45,7.76,0.53,0.19,1435,2883,4318
415,2/19/12,winter,2012,2,No,0,No,Clouds or mist,5.16,1.82,0.52,0.25,618,2071,2689
416,2/20/12,winter,2012,2,Yes,1,No,Few clouds,5.16,1.82,0.51,0.23,502,2627,3129
417,2/21/12,winter,2012,2,No,2,Yes,Few clouds,5.63,3.80,0.59,0.21,163,3614,3777
418,2/22/12,winter,2012,2,No,3,Yes,Few clouds,10.80,9.74,0.57,0.23,394,4379,4773
419,2/23/12,winter,2012,2,No,4,Yes,Few clouds,13.15,13.04,0.55,0.19,516,4546,5062
420,2/24/12,winter,2012,2,No,5,Yes,Clouds or mist,11.27,11.06,0.74,0.24,246,3241,3487
421,2/25/12,winter,2012,2,No,6,No,Few clouds,5.63,1.16,0.40,0.42,317,2415,2732
422,2/26/12,winter,2012,2,No,0,No,Few clouds,5.16,1.82,0.41,0.21,515,2874,3389
423,2/27/12,winter,2012,2,No,1,Yes,Few clouds,9.39,7.76,0.49,0.27,253,4069,4322
424,2/28/12,winter,2012,2,No,2,Yes,Few clouds,8.92,7.10,0.40,0.19,229,4134,4363
425,2/29/12,winter,2012,2,No,3,Yes,Clouds or mist,7.98,7.10,0.80,0.18,65,1769,1834
426,3/1/12,winter,2012,3,No,4,Yes,Few clouds,15.03,15.68,0.62,0.23,325,4665,4990
427,3/2/12,winter,2012,3,No,5,Yes,Clouds or mist,8.45,7.76,0.66,0.14,246,2948,3194
428,3/3/12,winter,2012,3,No,6,No,Clouds or mist,11.27,11.06,0.62,0.16,956,3110,4066
429,3/4/12,winter,2012,3,No,0,No,Few clouds,7.51,3.80,0.40,0.33,710,2713,3423
430,3/5/12,winter,2012,3,No,1,Yes,Few clouds,3.28,-0.16,0.51,0.23,203,3130,3333
431,3/6/12,winter,2012,3,No,2,Yes,Few clouds,4.22,1.16,0.46,0.20,221,3735,3956
432,3/7/12,winter,2012,3,No,3,Yes,Few clouds,10.80,9.74,0.51,0.35,432,4484,4916
433,3/8/12,winter,2012,3,No,4,Yes,Few clouds,16.91,18.32,0.57,0.44,486,4896,5382
434,3/9/12,winter,2012,3,No,5,Yes,Clouds or mist,11.27,10.40,0.41,0.41,447,4122,4569
435,3/10/12,winter,2012,3,No,6,No,Few clouds,5.63,2.48,0.35,0.23,968,3150,4118
436,3/11/12,winter,2012,3,No,0,No,Few clouds,8.92,7.76,0.48,0.22,1658,3253,4911
437,3/12/12,winter,2012,3,No,1,Yes,Few clouds,14.09,14.36,0.49,0.21,838,4460,5298
438,3/13/12,winter,2012,3,No,2,Yes,Few clouds,18.79,19.64,0.62,0.24,762,5085,5847
439,3/14/12,winter,2012,3,No,3,Yes,Few clouds,18.79,20.30,0.51,0.12,997,5315,6312
440,3/15/12,winter,2012,3,No,4,Yes,Few clouds,18.32,18.98,0.58,0.15,1005,5187,6192
441,3/16/12,winter,2012,3,No,5,Yes,Clouds or mist,12.68,13.04,0.84,0.11,548,3830,4378
442,3/17/12,winter,2012,3,No,6,No,Clouds or mist,15.97,17.66,0.76,0.11,3155,4681,7836
443,3/18/12,winter,2012,3,No,0,No,Clouds or mist,14.09,14.36,0.81,0.13,2207,3685,5892
444,3/19/12,winter,2012,3,No,1,Yes,Few clouds,17.85,18.98,0.73,0.16,982,5171,6153
445,3/20/12,winter,2012,3,No,2,Yes,Few clouds,18.32,19.64,0.81,0.12,1051,5042,6093
446,3/21/12,spring,2012,3,No,3,Yes,Clouds or mist,16.91,17.66,0.82,0.09,1122,5108,6230
447,3/22/12,spring,2012,3,No,4,Yes,Few clouds,17.85,18.98,0.83,0.12,1334,5537,6871
448,3/23/12,spring,2012,3,No,5,Yes,Clouds or mist,20.20,21.62,0.69,0.12,2469,5893,8362
449,3/24/12,spring,2012,3,No,6,No,Clouds or mist,15.50,16.34,0.89,0.19,1033,2339,3372
450,3/25/12,spring,2012,3,No,0,No,Clouds or mist,12.68,13.04,0.88,0.22,1532,3464,4996
451,3/26/12,spring,2012,3,No,1,Yes,Few clouds,13.15,13.04,0.48,0.39,795,4763,5558
452,3/27/12,spring,2012,3,No,2,Yes,Few clouds,7.04,5.12,0.29,0.19,531,4571,5102
453,3/28/12,spring,2012,3,No,3,Yes,Few clouds,14.56,15.02,0.48,0.29,674,5024,5698
454,3/29/12,spring,2012,3,No,4,Yes,Few clouds,15.03,15.68,0.44,0.32,834,5299,6133
455,3/30/12,spring,2012,3,No,5,Yes,Clouds or mist,9.39,9.08,0.58,0.14,796,4663,5459
456,3/31/12,spring,2012,3,No,6,No,Clouds or mist,11.74,11.72,0.74,0.25,2301,3934,6235
457,4/1/12,spring,2012,4,No,0,No,Clouds or mist,12.21,11.72,0.68,0.17,2347,3694,6041
458,4/2/12,spring,2012,4,No,1,Yes,Few clouds,12.21,12.38,0.50,0.31,1208,4728,5936
459,4/3/12,spring,2012,4,No,2,Yes,Few clouds,14.09,14.36,0.40,0.10,1348,5424,6772
460,4/4/12,spring,2012,4,No,3,Yes,Few clouds,17.38,18.98,0.47,0.18,1058,5378,6436
461,4/5/12,spring,2012,4,No,4,Yes,Few clouds,12.68,12.38,0.37,0.22,1192,5265,6457
462,4/6/12,spring,2012,4,No,5,Yes,Few clouds,10.80,9.74,0.38,0.30,1807,4653,6460
463,4/7/12,spring,2012,4,No,6,No,Few clouds,12.68,12.38,0.25,0.27,3252,3605,6857
464,4/8/12,spring,2012,4,No,0,No,Few clouds,15.50,16.34,0.28,0.23,2230,2939,5169
465,4/9/12,spring,2012,4,No,1,Yes,Few clouds,15.03,15.68,0.32,0.36,905,4680,5585
466,4/10/12,spring,2012,4,No,2,Yes,Few clouds,13.15,13.04,0.44,0.25,819,5099,5918
467,4/11/12,spring,2012,4,No,3,Yes,Few clouds,8.45,6.44,0.47,0.30,482,4380,4862
468,4/12/12,spring,2012,4,No,4,Yes,Few clouds,10.80,9.74,0.47,0.29,663,4746,5409
469,4/13/12,spring,2012,4,No,5,Yes,Few clouds,12.68,12.38,0.41,0.16,1252,5146,6398
470,4/14/12,spring,2012,4,No,6,No,Few clouds,15.50,16.34,0.50,0.19,2795,4665,7460
471,4/15/12,spring,2012,4,No,0,No,Few clouds,20.67,21.62,0.51,0.23,2846,4286,7132
472,4/16/12,spring,2012,4,Yes,1,No,Few clouds,23.02,24.26,0.56,0.28,1198,5172,6370
473,4/17/12,spring,2012,4,No,2,Yes,Few clouds,20.67,23.60,0.39,0.27,989,5702,6691
474,4/18/12,spring,2012,4,No,3,Yes,Clouds or mist,13.62,14.36,0.57,0.17,347,4020,4367
475,4/19/12,spring,2012,4,No,4,Yes,Few clouds,15.50,16.34,0.61,0.07,846,5719,6565
476,4/20/12,spring,2012,4,No,5,Yes,Few clouds,16.91,18.32,0.69,0.15,1340,5950,7290
477,4/21/12,spring,2012,4,No,6,No,Few clouds,18.79,19.64,0.68,0.28,2541,4083,6624
478,4/22/12,spring,2012,4,No,0,No,Light snow or rain,10.80,9.74,0.84,0.34,120,907,1027
479,4/23/12,spring,2012,4,No,1,Yes,Clouds or mist,7.04,3.80,0.77,0.30,195,3019,3214
480,4/24/12,spring,2012,4,No,2,Yes,Few clouds,11.27,11.06,0.45,0.25,518,5115,5633
481,4/25/12,spring,2012,4,No,3,Yes,Few clouds,14.56,15.02,0.43,0.12,655,5541,6196
482,4/26/12,spring,2012,4,No,4,Yes,Clouds or mist,15.50,15.68,0.76,0.18,475,4551,5026
483,4/27/12,spring,2012,4,No,5,Yes,Few clouds,13.62,13.70,0.40,0.35,1014,5219,6233
484,4/28/12,spring,2012,4,No,6,No,Clouds or mist,9.86,9.08,0.49,0.13,1120,3100,4220
485,4/29/12,spring,2012,4,No,0,No,Few clouds,13.62,13.70,0.59,0.12,2229,4075,6304
486,4/30/12,spring,2012,4,No,1,Yes,Clouds or mist,13.62,14.36,0.57,0.17,665,4907,5572
487,5/1/12,spring,2012,5,No,2,Yes,Clouds or mist,20.67,22.28,0.66,0.16,653,5087,5740
488,5/2/12,spring,2012,5,No,3,Yes,Few clouds,18.32,19.64,0.80,0.14,667,5502,6169
489,5/3/12,spring,2012,5,No,4,Yes,Clouds or mist,18.32,19.64,0.77,0.13,764,5657,6421
490,5/4/12,spring,2012,5,No,5,Yes,Few clouds,21.61,22.94,0.74,0.16,1069,5227,6296
491,5/5/12,spring,2012,5,No,6,No,Clouds or mist,21.14,22.28,0.76,0.15,2496,4387,6883
492,5/6/12,spring,2012,5,No,0,No,Clouds or mist,18.32,20.30,0.74,0.15,2135,4224,6359
493,5/7/12,spring,2012,5,No,1,Yes,Clouds or mist,17.38,18.98,0.66,0.23,1008,5265,6273
494,5/8/12,spring,2012,5,No,2,Yes,Clouds or mist,19.26,20.96,0.69,0.30,738,4990,5728
495,5/9/12,spring,2012,5,No,3,Yes,Clouds or mist,19.26,20.30,0.74,0.22,620,4097,4717
496,5/10/12,spring,2012,5,No,4,Yes,Few clouds,15.97,16.34,0.55,0.31,1026,5546,6572
497,5/11/12,spring,2012,5,No,5,Yes,Few clouds,16.91,18.32,0.36,0.24,1319,5711,7030
498,5/12/12,spring,2012,5,No,6,No,Few clouds,18.32,19.64,0.48,0.12,2622,4807,7429
499,5/13/12,spring,2012,5,No,0,No,Few clouds,20.67,22.94,0.58,0.23,2172,3946,6118
500,5/14/12,spring,2012,5,No,1,Yes,Clouds or mist,18.79,20.30,0.79,0.21,342,2501,2843
501,5/15/12,spring,2012,5,No,2,Yes,Clouds or mist,20.67,22.28,0.79,0.15,625,4490,5115
502,5/16/12,spring,2012,5,No,3,Yes,Few clouds,22.08,23.60,0.70,0.12,991,6433,7424
503,5/17/12,spring,2012,5,No,4,Yes,Few clouds,19.73,21.62,0.52,0.23,1242,6142,7384
504,5/18/12,spring,2012,5,No,5,Yes,Few clouds,18.32,20.30,0.52,0.14,1521,6118,7639
505,5/19/12,spring,2012,5,No,6,No,Few clouds,20.20,21.62,0.46,0.08,3410,4884,8294
506,5/20/12,spring,2012,5,No,0,No,Few clouds,21.14,22.28,0.53,0.25,2704,4425,7129
507,5/21/12,spring,2012,5,No,1,Yes,Clouds or mist,20.20,21.62,0.81,0.23,630,3729,4359
508,5/22/12,spring,2012,5,No,2,Yes,Clouds or mist,21.14,22.28,0.77,0.12,819,5254,6073
509,5/23/12,spring,2012,5,No,3,Yes,Clouds or mist,21.14,22.28,0.77,0.10,766,4494,5260
510,5/24/12,spring,2012,5,No,4,Yes,Few clouds,23.02,24.26,0.72,0.17,1059,5711,6770
511,5/25/12,spring,2012,5,No,5,Yes,Few clouds,23.96,25.58,0.75,0.14,1417,5317,6734
512,5/26/12,spring,2012,5,No,6,No,Few clouds,24.43,26.24,0.73,0.20,2855,3681,6536
513,5/27/12,spring,2012,5,No,0,No,Few clouds,24.43,26.24,0.70,0.22,3283,3308,6591
514,5/28/12,spring,2012,5,Yes,1,No,Few clouds,25.37,28.88,0.68,0.20,2557,3486,6043
515,5/29/12,spring,2012,5,No,2,Yes,Few clouds,25.84,28.22,0.68,0.30,880,4863,5743
516,5/30/12,spring,2012,5,No,3,Yes,Clouds or mist,23.02,24.26,0.67,0.13,745,6110,6855
517,5/31/12,spring,2012,5,No,4,Yes,Few clouds,23.96,25.58,0.49,0.20,1100,6238,7338
518,6/1/12,spring,2012,6,No,5,Yes,Clouds or mist,22.55,24.26,0.76,0.24,533,3594,4127
519,6/2/12,spring,2012,6,No,6,No,Few clouds,19.26,21.62,0.55,0.19,2795,5325,8120
520,6/3/12,spring,2012,6,No,0,No,Few clouds,20.20,22.28,0.49,0.18,2494,5147,7641
521,6/4/12,spring,2012,6,No,1,Yes,Few clouds,20.20,22.28,0.49,0.28,1071,5927,6998
522,6/5/12,spring,2012,6,No,2,Yes,Clouds or mist,17.38,18.98,0.61,0.21,968,6033,7001
523,6/6/12,spring,2012,6,No,3,Yes,Few clouds,17.85,19.64,0.61,0.08,1027,6028,7055
524,6/7/12,spring,2012,6,No,4,Yes,Few clouds,20.20,21.62,0.57,0.16,1038,6456,7494
525,6/8/12,spring,2012,6,No,5,Yes,Few clouds,22.55,23.60,0.47,0.18,1488,6248,7736
526,6/9/12,spring,2012,6,No,6,No,Few clouds,25.37,26.90,0.44,0.14,2708,4790,7498
527,6/10/12,spring,2012,6,No,0,No,Few clouds,26.31,27.56,0.54,0.13,2224,4374,6598
528,6/11/12,spring,2012,6,No,1,Yes,Clouds or mist,25.84,27.56,0.59,0.21,1017,5647,6664
529,6/12/12,spring,2012,6,No,2,Yes,Clouds or mist,22.55,23.60,0.83,0.21,477,4495,4972
530,6/13/12,spring,2012,6,No,3,Yes,Few clouds,23.02,24.26,0.58,0.34,1173,6248,7421
531,6/14/12,spring,2012,6,No,4,Yes,Few clouds,22.55,24.92,0.57,0.25,1180,6183,7363
532,6/15/12,spring,2012,6,No,5,Yes,Few clouds,22.08,23.60,0.59,0.18,1563,6102,7665
533,6/16/12,spring,2012,6,No,6,No,Few clouds,21.61,22.94,0.50,0.17,2963,4739,7702
534,6/17/12,spring,2012,6,No,0,No,Few clouds,19.73,21.62,0.60,0.14,2634,4344,6978
535,6/18/12,spring,2012,6,No,1,Yes,Clouds or mist,18.79,19.64,0.78,0.17,653,4446,5099
536,6/19/12,spring,2012,6,No,2,Yes,Few clouds,24.43,26.90,0.69,0.15,968,5857,6825
537,6/20/12,spring,2012,6,No,3,Yes,Few clouds,28.66,31.52,0.59,0.11,872,5339,6211
538,6/21/12,summer,2012,6,No,4,Yes,Few clouds,30.07,33.50,0.57,0.12,778,5127,5905
539,6/22/12,summer,2012,6,No,5,Yes,Few clouds,28.66,31.52,0.57,0.18,964,4859,5823
540,6/23/12,summer,2012,6,No,6,No,Few clouds,26.31,26.90,0.53,0.18,2657,4801,7458
541,6/24/12,summer,2012,6,No,0,No,Few clouds,26.78,28.22,0.48,0.15,2551,4340,6891
542,6/25/12,summer,2012,6,No,1,Yes,Few clouds,25.84,26.90,0.50,0.30,1139,5640,6779
543,6/26/12,summer,2012,6,No,2,Yes,Few clouds,21.61,22.94,0.37,0.35,1077,6365,7442
544,6/27/12,summer,2012,6,No,3,Yes,Few clouds,24.90,26.24,0.36,0.27,1077,6258,7335
545,6/28/12,summer,2012,6,No,4,Yes,Few clouds,27.25,28.88,0.42,0.17,921,5958,6879
546,6/29/12,summer,2012,6,No,5,Yes,Few clouds,31.01,36.14,0.49,0.17,829,4634,5463
547,6/30/12,summer,2012,6,No,6,No,Few clouds,28.19,29.54,0.60,0.16,1455,4232,5687
548,7/1/12,summer,2012,7,No,0,No,Few clouds,30.54,33.50,0.52,0.17,1421,4110,5531
